IsCon,VoiceTraffic,HRVT,PDCH,Traffic,DLTraffic,HRR,SDCon,Access Performance
0,34.19,1.75,16.82,78.88783203,60.01636719,0.051184557,0,0.996375
0,34.19,1.75,16.82,78.88783203,60.01636719,0.051184557,0,0.996375
0,33.99,32.26,4.08,58.07203125,41.11438477,0.949102677,0,0.999604
0,33.75,0,38.86,182.0516504,144.8111621,0,0,0.993361
0,33.75,0,38.86,182.0516504,144.8111621,0,0,0.993361
0,33.65,1.44,20.66,80.94739258,61.58337891,0.042793462,0,0.99926
0,33.6,33.53,5.58,34.50770508,24.1059668,0.997916667,0,1
0,33.39,2.13,18.64,38.17480469,29.76782227,0.063791554,0,1.000372
0,33.39,2.13,18.64,38.17480469,29.76782227,0.063791554,0,1.000372
0,33.38,33.32,21.31,68.65772461,52.49451172,0.998202516,0,0.999753
0,33.3,33.21,28.63,134.361582,90.8269043,0.997297297,0,0.997266
0,33.3,33.21,28.63,134.361582,90.8269043,0.997297297,0,0.997266
0,33.3,33.21,28.63,134.361582,90.8269043,0.997297297,0,0.997266
0,33.3,33.21,28.63,134.361582,90.8269043,0.997297297,0,0.997266
0,32.71,32.71,15,122.5877734,85.14648438,1,0,0.999641
0,32.71,32.71,15,122.5877734,85.14648438,1,0,0.999641
0,32.7,4.05,8.5,31.46912109,20.61584961,0.123853211,0,1
0,32.48,32.29,15.34,60.43824219,43.88769531,0.994150246,0,0.997668
0,32.28,0,16,220.4288477,159.9423926,0,0,0.999536
0,32.04,31.96,25.68,59.21924805,39.50549805,0.997503121,0,0.999731
0,32.02,4.8,21.83,51.77613281,37.97546875,0.149906309,0,0.996482
0,31.87,0,15.06,30.625625,20.37244141,0,0,1.000537
0,31.81,0,25.28,63.59363281,41.21716797,0,0,0.99559
0,31.81,0,25.28,63.59363281,41.21716797,0,0,0.99559
0,31.61,31.56,21.4,67.48695313,53.69361328,0.998418222,0,0.99907
0,31.58,31.54,17.46,92.67041992,74.13611328,0.998733376,0,0.998595
0,31.54,27.2,11.63,78.234375,64.01977539,0.862396956,0,0.998198
0,31.47,0.64,16.95,52.39393555,37.56788086,0.020336829,0,0.997177
0,31.42,19.34,20.25,113.5844922,77.73707031,0.615531509,0,1
0,31.41,31.26,21.14,64.15198242,51.71204102,0.995224451,0,0.996835
0,31.41,31.26,21.14,64.15198242,51.71204102,0.995224451,0,0.996835
0,31.41,31.26,21.14,64.15198242,51.71204102,0.995224451,0,0.996835
0,31.41,3.56,29.97,85.43835938,63.76025391,0.113339701,0,0.999855
0,31.39,31.36,37.13,47.5797168,31.41858398,0.999044282,0,0.997965
0,31.37,31.35,11.33,21.63000977,14.3527832,0.999362448,0,0.986152
0,31.37,0,44.34,156.4552051,116.0402832,0,0,0.998671
0,31.33,31.33,7.96,27.34717773,19.72290039,1,0,0.997387
0,31.27,31.21,23.16,60.68213867,47.4962207,0.998081228,0,0.998296
0,31.15,0.58,8.1,49.07570313,36.13868164,0.018619583,0,0.99975
0,31.1,31.09,7.91,54.56080078,39.79273438,0.999678457,0,0.998225
0,30.87,0.94,7.9,26.75854492,20.00610352,0.030450275,0,1
0,30.82,22.15,37.33,248.7207129,185.3468066,0.718689163,0,1
0,30.82,22.15,37.33,248.7207129,185.3468066,0.718689163,0,1
0,30.61,8.21,29.32,156.5261328,120.7004492,0.268213002,0,0.999218
0,30.61,8.21,29.32,156.5261328,120.7004492,0.268213002,0,0.999218
0,30.59,16.12,6.15,33.25598633,22.49597656,0.526969598,0,0.998412
0,30.39,0,4.03,20.09022461,15.50989258,0,0,0.998742
0,30.39,0,4.03,20.09022461,15.50989258,0,0,0.998742
0,30.38,25.6,10.69,39.71046875,29.67212891,0.842659645,0,0.997857
0,30.38,0.61,21.27,76.09571289,60.25170898,0.020078999,0,0.998458
0,30.36,0,25.76,79.92835938,61.12219727,0,0,0.997365
0,30.28,15.29,39.97,384.7735645,268.5494434,0.504953765,0,0.999872
0,30.15,18.14,13.85,18.4403125,11.63818359,0.601658375,0,0.99888
0,30.13,30.05,6,16.67859375,11.87084961,0.997344839,0,0.986067
0,30.13,30.05,6,16.67859375,11.87084961,0.997344839,0,0.986067
0,30.12,30.11,16.65,44.500625,28.73694336,0.999667995,0,0.983869
0,29.97,29.7,7.98,13.69117188,9.593144531,0.990990991,0,0.997267
0,29.93,29.31,16.9,158.3645117,140.6680957,0.979284998,0,1
0,29.93,0,18.71,28.76161133,20.30603516,0,0,0.995811
0,29.92,4.71,23.86,78.21191406,62.45214844,0.157419786,0,0.999006
0,29.9,4.84,20.89,172.123916,112.821543,0.16187291,0,0.999617
0,29.84,25.12,14.27,20.37379883,14.7490332,0.841823056,0,0.936633
0,29.84,0,7.88,88.8894043,60.41381836,0,0,0.999824
0,29.81,0,19.13,67.83716797,44.61169922,0,0,0.997758
0,29.79,0.63,18.96,82.53882813,65.03796875,0.021148036,0,1
0,29.77,29.73,21.85,64.83729492,50.79883789,0.998656365,0,0.994947
0,29.77,29.73,21.85,64.83729492,50.79883789,0.998656365,0,0.994947
0,29.74,29.71,6.29,36.73011719,28.33985352,0.998991258,0,0.997065
0,29.74,29.71,6.29,36.73011719,28.33985352,0.998991258,0,0.997065
0,29.59,0,32.87,110.891123,82.86036133,0,0,0.999804
0,29.59,0,32.87,110.891123,82.86036133,0,0,0.999804
0,29.57,1.96,15.01,62.64832031,46.42981445,0.066283395,0,0.999758
0,29.57,1.96,15.01,62.64832031,46.42981445,0.066283395,0,0.999758
